ID,SpecObjID,photoObjID,hostra,hostdec,SDSSra,SDSSdec,SDSSredshift,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
49382,1107984505349629952,1237656569186353630,313.83,0.5406111,313.83026,0.54059788,0.02318151,16.46896,15.08104,14.40818,14.08423,13.86966,0.02183287,0.004821445,0.004074057,0.003993364,0.008532222,0.3479098,0.271089,0.1875381,0.1393609,0.1036589
42318,1109099135077738496,1237663543139762887,315.767,-0.122459,315.76731,-0.12246852,0.1439312,19.10346,18.10799,17.46761,17.10919,16.78571,0.06706221,0.04320437,0.03349099,0.01983929,0.05681674,0.307531,0.239626,0.1657722,0.1231865,0.09162813
49144,1109122774577735680,1237678596460839465,316.519,1.2161,316.51934,1.2161057,0.05805255,19.56516,18.08195,17.57556,17.21351,17.19036,0.2620052,0.02913113,0.02955009,0.0357044,0.1053303,0.5379778,0.4191886,0.2899927,0.2154957,0.1602892
43475,1109141741153314816,1237663457776173439,316.559,0.0977852,316.55855,0.097785429,0.05059287,18.09667,15.87916,15.03008,14.47659,14.32203,0.2153763,0.02136953,0.03473639,0.03325238,0.03191255,0.3830712,0.2984865,0.2064916,0.1534454,0.1141352
40372,1110187926668470272,1237663456703349142,318.653,-0.827371,318.65283,-0.82736245,0.1449851,29.42647,20.5119,16.43657,16.03477,22.82791,34.10647,19.73573,1.787897,2.030456,160.7232,0.2597903,0.2024268,0.1400379,0.1040632,0.0774039
42858,1110226409575442432,1237678617399132997,317.242,0.477656,317.24184,0.47764189,0.2030858,20.68635,19.03048,17.66159,17.10174,16.68599,0.3680258,0.03830508,0.01106956,0.01508108,0.03820196,0.537406,0.4187431,0.2896846,0.2152667,0.1601188
43476,1110251973220788224,1237663457776829252,318.058,0.176125,318.05758,0.17612012,0.1785907,19.91184,18.62614,17.69232,17.14511,16.85012,0.1106478,0.01394991,0.01035601,0.009460199,0.03024457,0.4725473,0.3682056,0.254723,0.1892865,0.1407944
41776,1111352860580276224,1237663544215077452,319.432,0.761386,319.4322,0.76142557,0.1349534,18.68856,17.63799,16.99738,16.56605,16.40442,0.1078795,0.07905728,0.06416199,0.05104116,0.05381576,0.4090251,0.3187096,0.2204818,0.1638416,0.1218681
49381,440262627600394240,1237663782589825148,6.957208,-1.2,6.9572206,-1.1999658,0.01300359,16.10517,14.83469,14.41391,14.23289,14.14242,0.03146172,0.008551578,0.008178306,0.006711703,0.0206403,0.09681554,0.07543802,0.05218767,0.03878103,0.02884596
44261,440245310292256768,1237657190371688673,7.61426,-0.453285,7.6143037,-0.4532904,0.1543864,19.20963,18.2086,17.56638,17.18481,17.02979,0.1045218,0.01785052,0.0160836,0.01697342,0.05360822,0.08940982,0.06966753,0.04819567,0.03581455,0.02663944
45312,440243386146908160,1237663783126958321,7.56279,-0.787202,7.5627952,-0.78721107,0.1555925,19.6728,18.33694,17.55074,17.21066,16.97807,0.1555495,0.02363184,0.01840594,0.01971724,0.05579469,0.08741592,0.06811389,0.04712088,0.03501586,0.02604537
494,439274443504642048,1237663716017176854,6.5615,0.5463055,6.5615722,0.54634177,0.06438895,17.40142,16.28292,15.71347,15.37533,15.20163,0.03265779,0.006051202,0.004926275,0.006353486,0.0180674,0.1091058,0.08501452,0.05881265,0.0437041,0.03250783
49934,1111381997638412288,1237678617937379817,320.383,0.994918,320.38258,0.99491143,0.03411906,19.38759,17.39301,16.76636,16.54134,16.95441,0.2526387,0.01743128,0.01244626,0.01750337,0.09933964,0.305726,0.2382196,0.1647992,0.1224635,0.09109033
48486,1111421580057012224,1237663543679123572,321.475,0.4147222,321.47404,0.41604221,0.03173976,16.68389,15.38484,14.7592,14.39501,14.1186,0.02451931,0.03187365,0.04098144,0.03715195,0.0185726,0.2310779,0.1800543,0.1245607,0.09256198,0.06884911
50467,435884647327492096,1237663543696425066,0.9513708,0.359593,0.95138436,0.3595702,0.09983726,19.41828,18.46056,17.73249,17.40817,17.01923,0.1220303,0.02039582,0.01707123,0.01845145,0.05634606,0.1695419,0.1321059,0.09139025,0.06791276,0.05051461
41102,435815103217035264,1237663278464172191,359.001,1.01312,359.00115,1.0131256,0.1506094,19.07533,18.09477,16.95992,16.48251,16.2543,0.1278868,0.02537961,0.02468511,0.026547,0.04320021,0.1188934,0.09264095,0.06408858,0.04762468,0.03542401
43657,435744459594950656,1237663783660945418,0.9170992,-0.280297,0.91702685,-0.28034409,0.06132872,18.0784,17.03531,16.66526,16.39503,16.27234,0.02819045,0.005707666,0.007811336,0.007680648,0.0232471,0.1417895,0.1104814,0.07643054,0.05679609,0.04224585
43187,434768093219153920,1237666408441905369,358.879,0.261006,358.87963,0.26016585,0.281886,21.17115,19.41395,18.0131,17.42593,17.15841,0.5129077,0.0409125,0.02225448,0.01900399,0.05400905,0.1651232,0.1286629,0.08900839,0.06614278,0.04919807
14678,434764519806363648,1237663278464106528,358.7528,0.9037222,358.75283,0.90371976,0.0718026,19.3106,17.94343,17.41211,17.00138,16.83999,0.1114347,0.02325495,0.01741422,0.01623016,0.04026127,0.1396802,0.1088379,0.07529353,0.05595117,0.04161739
45186,433591340815640576,1237663277925466260,354.76,0.430852,354.75999,0.43083132,0.09149729,19.42438,18.20309,17.50179,17.14181,16.81339,0.10033,0.01785353,0.01350852,0.01609693,0.04086346,0.1633029,0.1272445,0.08802714,0.0654136,0.0486557
49753,433588042280757248,1237663784195195046,354.946,0.20583,354.94632,0.20580338,0.06846777,18.88992,17.32875,16.52962,16.08538,15.77502,0.1057655,0.1218847,0.1146223,0.1041637,0.08683649,0.1426226,0.1111306,0.07687961,0.05712979,0.04249406
40951,432465441546332160,1237663784194343042,353.006,0.109655,353.00621,0.10964942,0.1877267,19.1092,18.15822,17.52132,17.14723,17.00075,0.08642553,0.01704353,0.01550592,0.01648329,0.06055164,0.164301,0.1280222,0.08856518,0.06581342,0.04895309
50340,432434380342847488,1237663462608076921,352.523,0.724152,352.52348,0.72412532,0.08469019,18.10199,16.86942,16.29963,15.92483,15.77565,0.04713829,0.006930685,0.006184319,0.007331449,0.02246276,0.158881,0.123799,0.08564358,0.06364236,0.04733822
49809,431256528461260800,1237663783119749306,351.162,-0.7179,351.16219,-0.71792709,0.1486456,18.72642,17.89824,17.14499,16.7479,16.40085,0.06505467,0.01528844,0.01184115,0.01318788,0.03407605,0.1792519,0.1396719,0.09662435,0.07180225,0.05340768
49785,430255423090616320,1237666408438169805,350.33,0.2591111,350.32968,0.25905452,0.03078136,18.42743,17.05809,16.48196,16.22346,15.87989,0.1342243,0.0137538,0.01076906,0.0182991,0.04630518,0.2123734,0.1654799,0.1144782,0.0850696,0.06327616
45426,430252949189453824,1237663462606962843,349.972,0.80599,349.97247,0.80590712,0.08233886,18.55142,17.26107,16.75921,16.41812,16.29518,0.06520416,0.008990703,0.008579812,0.01043246,0.03333015,0.1933073,0.1506237,0.1042008,0.07743236,0.05759545
24961,429129523099887616,1237666408437252321,348.2317,0.3634167,348.23174,0.36342035,0.0493733,19.519,17.91665,17.68252,17.45597,17.18537,0.2903768,0.02316328,0.02984508,0.03453039,0.1182588,0.2190136,0.1706539,0.1180576,0.08772944,0.06525458
