# ID SN_Type SN_RA SN_Dec Redshift Kind_z Host_Name Host_RA Host_Dec vflag rmag AbsMag
120 Candidate 184.0327125 1.2685694444444444 0.07538 host GAMAJ121607.58+011601.5 -999.0 -999.0 0 -999.0 -999.0
121 Candidate 185.20507083333334 0.6316972222222222 0.10279 host GAMAJ122049.14+003751.6 -999.0 -999.0 9 -999.0 -999.0
122 Candidate 180.75597916666666 1.4393111111111112 0.0841239 host "SDSS J120301.30+012616.7" 180.75541666666666 1.4379722222222222 0 16.81984 -20.188860506918473
123 Candidate 215.55005833333334 -0.1305777777777778 0.054 host "SDSS J142211.75-000752.6" 215.5489583333333 -0.13127777777777777 0 16.76493 -19.28114231375448
124 Candidate 218.09905833333332 1.2802583333333333 0.1139 host "SDSS J143223.49+011652.5" 218.09787499999996 1.28125 9 17.99687 -19.669852135035136
125 Candidate 33.9386 0.8606 0.142 host "SDSS J021545.50+005135.6" 33.93958333333333 0.8598888888888888 9 17.49903 -20.646515236554922
126 Candidate 36.1658 -1.1046 0.068 host "SDSS J022439.42-010614.3" 36.16424999999999 -1.1039722222222224 9 16.95762 -19.58902807817082
127 Candidate 17.6205 1.6905000000000001 0.044541 host "IC 83" -999.0 -999.0 9 -999.0 -999.0
128 Candidate 117.96619166666665 49.814227777777774 0.024437 -999 "SBS 0748+499" -999.0 -999.0 2 -999.0 -999.0
129 Candidate 218.72441249999997 -1.139238888888889 0.048 host "SDSS J143453.82-010813.8" 218.72424999999998 -1.1371666666666667 1 16.66503 -19.12527970151757
130 Candidate 121.88499999999999 5.5342 0.031 host "SDSS J080731.98+053203.1" 121.88324999999999 5.534194444444444 2 15.24157 -19.599341983811005
131 Candidate 337.71009999999995 -0.5233000000000001 0.081 host "2MASX J22305050-0031267" 337.7104166666666 -0.5240833333333333 9 16.99593 -19.930598609032884
132 Candidate 21.65 0.41250000000000003 0.119 host "SDSS J012636.07+002440.3" 21.650291666666664 0.4111944444444445 9 16.15656 -21.60527832160229
133 Candidate 6.6427 0.4988 0.071 host "SDSS J002633.89+002953.5" 6.641208333333333 0.49819444444444444 9 16.7882 -19.852195258235017
134 "II, II?" 199.57379999999998 -2.8622 0.085 host "SDSS J131818.07-025129.6" 199.57529166666666 -2.8582222222222224 2 15.88046 -21.1507381432111
135 Candidate 151.611 0.9642 0.046 host "SDSS J100627.07+005753.2" 151.61279166666665 0.9647777777777777 2 16.66456 -19.033332673047504
136 Candidate 160.9553 0.8637 0.118 host "SDSS J104349.06+005155.3" 160.95441666666665 0.8653611111111111 9 17.51924 -20.224273551170267
137 Candidate 207.94819999999996 2.7481 0.069 host "SDSS J135147.61+024450.6" 207.94837499999997 2.747388888888889 0 17.35023 -19.228118968325912
138 Candidate 213.6922208333333 -3.159647222222222 0.047843 host "SDSS J141446.33-030932.8" 213.69304166666663 -3.159111111111111 2 16.38259 -19.400605536200707
