# ID claimedtype ra dec redshift redshift_kind host hostra hostdec vflag rmag abs_mag
46111 "II, I" 128.81541666666666 28.475277777777777 0.00727 host "NGC 2608" 128.82199999999997 28.473399999999998 1 12.6898 -19.00197556893483
46129 "II, II P" 154.56666666666666 41.375 0.0111 -999 "NGC 3184" 154.57083333333333 41.42444444444444 1 10.62796 -21.98275840857292
46149 II 154.14583333333334 21.111666666666668 0.0044 host "NGC 3177" 154.14166666666665 21.123055555555556 1 12.14337 -18.457996897070576
46152 I 195.2208333333333 28.01 0.017 host "IC 4051" 195.22916666666663 28.009444444444444 1 23.43085 -10.105498121531006
46265 Pec 195.36479166666666 27.872972222222224 0.018 host "NGC 4921" 195.35833333333332 27.886666666666667 1 12.55116 -21.109306040156167
46279 I 186.7392083333333 48.27458333333333 0.026 host "MCG +08-23-37, UGC 7560" 186.73749999999998 48.276944444444446 1 13.91625 -20.54272025449373
46290 I 126.44212499999999 19.454055555555556 0.025235 -999 "IC 2363" 126.44166666666665 19.449722222222224 1 23.10078 -11.29334005998816
46292 I 192.73499999999999 27.838583333333332 0.025364 -999 "MCG +05-30-101, CGCG 159-089, PGC 43514" 192.725 27.841944444444444 0 13.71439 -20.690802237214257
46294 "II, II L" 147.15966666666668 33.42641666666666 0.00493 -999 "NGC 3003" 147.14999999999998 33.421388888888885 1 12.48982 -18.358518111025788
46298 "II, II Pec" 242.9484583333333 29.57288888888889 0.032 host "MCG +05-38-27, PGC 1870643" 243.0458333333333 29.573888888888888 0 14.54061 -20.369243406239164
46312 I 230.6887083333333 29.768916666666666 0.023 host "MCG +05-36-25, UGC 9831" 230.68749999999997 29.76972222222222 1 14.44408 -19.7486626947276
46329 I 231.74999999999997 26.450416666666666 0.033 host "MCG +05-36-32, PGC 55118" 231.7541666666666 26.45 0 21.02842 -13.948253214029076
46330 I 227.88091666666665 5.244055555555556 0.039 host "A151131+0514, CGCG 049-032, PGC 54219" 227.87916666666666 5.243888888888889 0 15.33515 -20.004276549772136
46331 I 194.44887499999996 27.884888888888888 0.0232 -999 "MCG +05-31-32, CGCG 160-048, PGC 44364" 194.44999999999996 27.883055555555558 0 14.39776 -19.813783439094138
46339 I 170.91541666666666 53.83686111111111 0.0096 host "NGC 3656" 170.9125 53.842222222222226 1 12.39325 -19.902209679837476
46341 I 194.49066666666664 28.05975 0.0232 -999 "MCG +05-31-35, KUG 1255+283, PGC 44386" 194.49166666666665 28.061666666666667 0 15.31939 -18.892153439094137
46349 Pec 148.3254583333333 36.08888888888889 0.018 host "MCG +06-22-24, KUG 0950+363, PGC 28494" 148.325 36.08527777777778 1 14.40508 -19.255386040156168
46355 I 241.52858333333333 17.45963888888889 0.0252 -999 "IC 1188A, IC 1188" 241.52916666666664 17.460833333333333 1 14.66014 -19.730966218547366
46368 I 186.62499999999997 9.023333333333333 0.025 host "NGC 4410B, NGC 4410, NGC 4410A" 186.62499999999997 9.020000000000001 0 13.16862 -21.20518355799982
46381 "II, II P" 149.92379166666663 35.39544444444444 0.017 host "NGC 3074" 149.9208333333333 35.39222222222222 1 13.44008 -20.096268121531004
46384 I 138.73749999999995 46.906666666666666 0.014 host "MCG +08-17-63, UGC 4870" 138.73333333333332 46.90333333333333 1 20.84762 -12.267123693030832
46416 I 123.97916666666664 20.461666666666666 0.043 host "A081554+2028, PGC 23166" 123.975 20.466666666666665 0 20.94321 -14.60823579253757
46417 I 194.575 27.13 0.039704 -999 "PGC 44441, 2MASX J12581769+2708117" 194.57916666666665 27.130277777777778 1 23.22838 -12.149894825585967
46465 I 145.83333333333334 31.951666666666668 0.0052 host "NGC 2968" 145.79999999999998 31.928055555555556 1 11.62746 -19.336660232813635
46480 "II, II P" 175.30833333333334 47.68611111111111 0.01057 host "NGC 3811" 175.319 47.690799999999996 1 12.48367 -20.020808451176773
46517 I 195.96666666666667 28.18638888888889 0.0232 -999 "NGC 4944" 195.95833333333331 28.185833333333335 0 12.7809 -21.430643439094133
46531 II 168.03749999999997 54.01 0.039 host "MCG +09-18-102, PGC 34081" 168.0458333333333 54.01138888888889 1 21.94773 -13.391696549772135
46558 I 168.575 48.306666666666665 0.0071 host "NGC 3583" 168.5458333333333 48.32 1 11.49945 -20.140945258235014
46587 I 162.10833333333332 26.58 0.021 host "MCG +05-26-14, UGC 5912" 162.11666666666665 26.585833333333333 0 22.72784 -11.267359988309238
46592 II 169.92499999999998 59.28666666666667 0.0098 host "MCG +10-16-117, UGC 6335" 169.92499999999998 59.293055555555554 1 21.78066 -10.559573893102108
