ID,PhotoObjID,hostra,hostdec,SDSSra,SDSSdec,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
43892,1237663783671496914,25.0908,-0.353702,25.0907813002236,-0.35370401834317,22.79626,21.6581,20.90018,20.58412,20.31198,0.9117405,0.1644931,0.1194679,0.1322618,0.4074717,0.1382475,0.1077216,0.07452127,0.05537729,0.04119053
496,1237663783671562321,25.19771,-0.2182778,25.197788496185,-0.218263442621939,18.29327,17.41231,16.9403,16.66034,16.60257,0.07445171,0.01800765,0.01824704,0.0196324,0.0612762,0.1279268,0.09967967,0.06895793,0.05124314,0.03811548
42690,1237663783671890433,25.9916,-0.398981,25.9916235858122,-0.398985048763358,23.21729,22.81799,20.98032,20.40509,19.98211,1.033233,0.3368493,0.1009711,0.08930292,0.2359667,0.1290484,0.1005536,0.06956253,0.05169242,0.03844966
50437,1237663783672087534,26.48333,-0.2175,26.4814239292019,-0.216015473353922,24.6407,23.41169,23.24276,23.48918,22.79469,1.48697,0.4589016,0.6281196,0.9941784,1.281071,0.140782,0.1096964,0.07588746,0.05639252,0.04194567
42543,1237663783672217882,26.7531,-0.301812,26.7531486411313,-0.301810127352117,20.95072,20.31934,19.54384,19.35489,18.45477,0.3022601,0.09175462,0.06257966,0.0774396,0.1550012,0.1351627,0.1053179,0.07285843,0.05414162,0.04027142
44788,1237663783672283436,26.8401,-0.393882,26.8400806136745,-0.393881240398942,21.39802,21.39943,20.78629,20.11947,19.25283,0.2000739,0.09640144,0.08608451,0.06863638,0.1243696,0.1366057,0.1064422,0.07363623,0.05471961,0.04070134
50550,1237663783672610932,27.5843,-0.403861,27.5842763238513,-0.40386204663647,18.61135,17.54415,16.98991,16.63995,16.44696,0.03750728,0.00780178,0.0071528,0.007853657,0.02138819,0.1291455,0.1006293,0.06961486,0.05173131,0.03847859
44290,1237663783672676591,27.7471,-0.233908,27.7470729792952,-0.233907359174198,22.40463,19.94128,18.51914,17.97044,17.70712,1.991775,0.1577584,0.0741139,0.061636,0.105774,0.1440782,0.1122647,0.07766421,0.05771283,0.04292775
40658,1237663783672807619,28.096,-0.227502,28.0960034314323,-0.227499632270354,20.50432,19.00139,18.1279,17.72656,17.48495,0.1751291,0.02255263,0.01582029,0.01563758,0.04873294,0.143807,0.1120535,0.07751808,0.05760424,0.04284697
42235,1237663783673135997,28.7952,-0.412028,28.7952053587646,-0.412027890596306,24.82112,24.34345,23.10588,22.06484,22.03524,0.9428473,0.6806244,0.3509667,0.214599,0.6308985,0.1353614,0.1054727,0.07296549,0.05422118,0.0403306
42545,1237663783673332230,29.2052,-0.235561,29.2052190335565,-0.235559825456494,22.6123,22.11047,20.69346,20.39372,20.44963,0.6400909,0.2544353,0.08507336,0.1292916,0.4212276,0.1388156,0.1081641,0.07482745,0.05560482,0.04135977
50402,1237663783673397409,29.45886,-0.3981275,29.4588711583658,-0.398129470971475,21.22351,20.09221,18.99679,18.55834,18.3031,0.2064889,0.04028102,0.02237155,0.02217418,0.06146243,0.1053835,0.08211409,0.05680615,0.04221306,0.03139876
42692,1237663783673397556,29.4343,-0.284022,29.4342863028454,-0.284024906079607,21.36305,20.69874,19.86658,19.39839,19.00456,0.2988724,0.07340163,0.05413937,0.04954593,0.1407775,0.1022774,0.07969384,0.05513183,0.04096886,0.0304733
50403,1237663783673528437,29.6686,-0.248558,29.6686317877451,-0.248561760799509,18.14015,16.84178,16.38291,16.04849,15.94983,0.04686377,0.009204277,0.008063781,0.008213234,0.02621589,0.1104284,0.08604508,0.05952559,0.04423389,0.03290189
41869,1237663783673528969,29.725,-0.37272,29.7249656129852,-0.372723183132865,21.21731,21.46153,20.89462,20.75168,20.0753,0.2277788,0.1235687,0.144245,0.1976762,0.3408546,0.1034719,0.08062463,0.05577574,0.04144735,0.03082922
49364,1237663783674118396,31.0167,-0.366323,31.0167112960849,-0.366321941702508,21.26582,19.8882,18.99958,18.7256,18.23274,0.3249704,0.04620515,0.03223898,0.03581721,0.08961748,0.106761,0.08318745,0.05754869,0.04276484,0.03180919
42695,1237663783674642868,32.2164,-0.321093,32.216356488411,-0.321093583483942,22.50179,23.54169,22.01346,21.99714,21.88947,0.4297391,0.6745516,0.2708246,0.3422546,0.9663454,0.1227016,0.09560823,0.06614134,0.0491501,0.03655864
50388,1237663783674773637,32.5709,-0.263341,32.5709030479094,-0.263341970910457,18.13068,16.67201,15.98764,15.6038,15.41084,0.05379482,0.009332892,0.008169838,0.008610337,0.02097719,0.1140496,0.08886667,0.06147755,0.04568441,0.03398081
42696,1237663783675035941,33.1457,-0.221808,33.1456810632324,-0.221806281843483,20.63321,20.57224,19.93976,19.817,19.26527,0.1639477,0.07567997,0.05726605,0.08765674,0.2122467,0.1247387,0.09719556,0.06723943,0.04996611,0.0371656
42456,1237663783675101438,33.2842,-0.306445,33.2841953648639,-0.306444292025258,21.83237,21.47467,20.70244,20.65831,20.20409,0.3821787,0.15244,0.1062074,0.1930583,0.3863773,0.1338295,0.104279,0.07213976,0.05360758,0.03987419
41584,1237663783675691751,34.6288,-0.212733,34.628835431264,-0.212735885236293,25.74596,21.6814,21.31376,21.0253,22.19847,2.679111,0.217281,0.2368317,0.3308299,2.867462,0.1481309,0.1154226,0.07984881,0.05933622,0.04413525
41964,1237663783676215902,35.8719,-0.300477,35.8718608499028,-0.300476917126562,21.52627,20.73417,19.98824,19.88466,19.22353,0.4820433,0.1172122,0.09599658,0.1311424,0.2905652,0.1492418,0.1162882,0.08044765,0.05978122,0.04446625
42700,1237663783677002351,37.6214,-0.305844,37.6214105807132,-0.305835522479817,24.80362,22.85191,22.14133,22.07364,20.87666,1.584757,0.3001999,0.2537516,0.3600162,0.4671192,0.1202425,0.09369211,0.06481577,0.04816506,0.03582596
