# ID claimedtype dec host hostdec hostra ra redshift redshift_kind
291 IIn-09ip -40.667899999999996 "ESO 344-G021" "" "" 334.95599999999996 0.010783 ""
292 "" -5.096830555555555 Uncatalogued "" "" 145.99604166666666 "" ""
293 "" -73.62568888888889 "" "" "" 29.431849999999994 0.00074 spectroscopic
294 "" -46.47723888888889 "MRSS 251-044924" "" "" 72.03619166666665 "" ""
295 "" 14.84148888888889 "NGC 3485" "" "" 165.01429166666665 0.00479 host
296 "" 56.932183333333334 "SDSS J152927.45+565558.3" 56.93286111111111 232.36437499999997 232.36152499999994 0.050551 host
297 "" 13.28195 "" "" "" 213.62869166666664 "" ""
298 "" -2.2980888888888886 "2MASX J07495102-0217434" -2.2953888888888887 117.46258333333331 117.45680833333333 "" ""
299 "" -34.05866111111111 "2dFGRS S570Z253" "" "" 28.17862083333333 0.049782 host
300 "" -65.36381944444445 "ESO 090- G 011, ESO 90-G11, ESO 090-G 011" "" "" 134.58565833333333 0.018422 host
301 "" 1.754911111111111 "ARK 501" "" "" 245.79899999999995 0.029954 host
302 Candidate -54.58973888888889 "ESO 187- G 047, ESO 187-G47, ESO 187-G 047" "" "" 315.5901916666666 0.0434 host
303 "" 7.4358305555555555 "" "" "" 269.23797916666666 0.0 spectroscopic
304 "" -0.06611944444444445 "" "" "" 121.06290833333331 "" ""
305 II -41.53396111111111 "ESO 293- G 022, ESO 293-G22, ESO 293-G 022" "" "" 359.50344166666656 0.023446 host
307 "" -35.63986111111111 "ESO 365- G 011, ESO 365-G11" "" "" 95.91071666666666 0.030241 host
308 "" -71.11261111111111 "IC 5024" "" "" 310.03357916666664 0.012619 host
309 "" -36.153888888888886 "2MASX J01525203-3609163" -36.15452777777778 28.216791666666666 28.215279166666665 "" ""
310 "" -38.961488888888894 "GALEXASC J042409.77-385737.8" -38.9605 66.04070833333333 66.04065 "" ""
311 Candidate -60.19846944444444 "IC 4836" "" "" 289.0859583333333 0.013716 host
312 "" -41.87316944444444 "LCRS B005521.0-420840" "" "" 14.41692083333333 0.024517 host
313 "" -42.47256111111111 "ESO 292-IG 012 NED01" "" "" 355.51637083333327 0.061276 host
314 "" -48.964400000000005 "SARS 068.13762-49.06811" "" "" 68.48112083333332 0.055528 host
315 Candidate -60.57475 "2MASX J23331223-6034201" -60.572250000000004 353.3009583333333 353.3018916666666 0.014827 host
316 Candidate -54.637569444444445 "2MASX J01043245-5438119" -54.63663888888889 16.13520833333333 16.136049999999997 "" ""
317 "" 70.76076111111111 "" "" "" 3.5390791666666663 "" ""
318 "" -38.69351944444444 "LCRS B043143.0-384747" "" "" 68.36357083333331 "" ""
319 "" -6.427980555555556 "2MASX J01400755-0625426" -6.4285000000000005 25.031458333333326 25.03324166666666 0.051165 host
320 "" 19.163788888888888 "SDSS J074246.92+190955.6" 19.165444444444443 115.6955 115.69799166666665 "" ""
321 "" -49.10291388888889 "2MASX J06131068-4906047" -49.101305555555555 93.29449999999999 93.29837916666666 "" ""
322 "" 40.74056111111111 M31 "" "" 10.643329166666664 0.000175 host
323 "" -12.931219444444444 "2MASX J11091457-1255536" -12.931555555555555 167.31070833333334 167.3114 0.025568 host
324 Candidate -38.66106111111111 "2MASX J05165462-3839357" -38.65991666666667 79.22758333333333 79.23017083333332 "" ""
325 "Ia-91T, Ia" -23.97856111111111 "GALEXASC J032916.48-235840.2" -23.977833333333333 52.31866666666666 52.31927916666666 0.02 ""
326 "" -6.2875805555555555 "SDSS J030913.07-061711.6" -6.286555555555555 47.30445833333333 47.304670833333326 0.088332 host
327 "" 35.25496111111111 "2MASX J16535612+3515186" 35.25516666666667 253.4838333333333 253.48252916666664 0.037314 host
328 "Ic BL" -17.992219444444444 "2MASX J06005908-1759313" -17.99202777777778 90.24616666666665 90.24554166666667 0.0221 ""
331 "" -18.69783888888889 "2MASX J04512041-1841487" -18.69686111111111 72.83504166666664 72.8343 "" ""
332 "" -21.84235 "2MASX J04594562-2150283" -21.841194444444444 74.94008333333332 74.93859166666665 0.0535 host
